sex,age,province,education,citizenship_status,income_respondent
Male,63.2,Manitoba,Less than high school diploma or its equivalent,By birth,"$50,000 to $74,999"
Male,78.1,Quebec,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Female,55.7,Saskatchewan,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Male,33.2,Ontario,University certificate or diploma below the bachelor's level,By birth,"$25,000 to $49,999"
Male,37,Quebec,University certificate or diploma below the bachelor's level,By naturalization,"$25,000 to $49,999"
Female,70,Quebec,"College, CEGEP or other non-university certificate or di...",By birth,"$25,000 to $49,999"
Male,68.1,British Columbia,"College, CEGEP or other non-university certificate or di...",By birth,"Less than $25,000"
Male,60.7,Quebec,Less than high school diploma or its equivalent,By birth,"$50,000 to $74,999"
Female,72.7,Manitoba,Trade certificate or diploma,By birth,"Less than $25,000"
Male,41.3,Ontario,Trade certificate or diploma,By birth,"$25,000 to $49,999"
Female,57.9,Saskatchewan,"College, CEGEP or other non-university certificate or di...",By birth,"Less than $25,000"
Female,68.7,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$50,000 to $74,999"
Male,62.1,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Valid skip,"$50,000 to $74,999"
Female,33.1,Alberta,University certificate or diploma below the bachelor's level,By birth,"$25,000 to $49,999"
Female,79.5,Manitoba,High school diploma or a high school equivalency certificate,By birth,"Less than $25,000"
Male,30.8,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$75,000 to $99,999"
Male,48.8,Quebec,Trade certificate or diploma,By birth,"$50,000 to $74,999"
Male,72.2,Alberta,High school diploma or a high school equivalency certificate,By birth,"$50,000 to $74,999"
Female,46.6,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"Less than $25,000"
Male,42.8,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By naturalization,"Less than $25,000"
Female,80,Manitoba,High school diploma or a high school equivalency certificate,By birth,"Less than $25,000"
Male,18.1,Ontario,High school diploma or a high school equivalency certificate,By naturalization,"Less than $25,000"
Male,80,Ontario,Less than high school diploma or its equivalent,By birth,"$25,000 to $49,999"
Male,70,Ontario,"College, CEGEP or other non-university certificate or di...",By naturalization,"$25,000 to $49,999"
Male,26.3,Ontario,High school diploma or a high school equivalency certificate,By birth,"Less than $25,000"
Female,54.7,Nova Scotia,"College, CEGEP or other non-university certificate or di...",By birth,"$50,000 to $74,999"
Female,78.5,New Brunswick,High school diploma or a high school equivalency certificate,By birth,"$50,000 to $74,999"
Female,47,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or di...",By birth,"$75,000 to $99,999"
Female,24.7,British Columbia,High school diploma or a high school equivalency certificate,By birth,"Less than $25,000"
Female,63.3,New Brunswick,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Female,80,Nova Scotia,University certificate or diploma below the bachelor's level,By naturalization,"$50,000 to $74,999"
Female,55.8,Quebec,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Female,25.4,Quebec,"College, CEGEP or other non-university certificate or di...",By birth,"Less than $25,000"
Male,80,Saskatchewan,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Male,57.4,British Columbia,"University certificate, diploma or degree above the bach...",By birth,"Less than $25,000"
Female,69.2,Ontario,High school diploma or a high school equivalency certificate,By naturalization,"Less than $25,000"
Male,59.6,Quebec,"College, CEGEP or other non-university certificate or di...",By birth,"$25,000 to $49,999"
Female,73.8,Prince Edward Island,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$100,000 to $ 124,999"
Female,70.2,Ontario,"College, CEGEP or other non-university certificate or di...",By birth,"$50,000 to $74,999"
Female,71.6,Ontario,"College, CEGEP or other non-university certificate or di...",By birth,"$25,000 to $49,999"
Male,80,Alberta,Trade certificate or diploma,By birth,"$25,000 to $49,999"
Female,40.5,Quebec,"College, CEGEP or other non-university certificate or di...",By birth,"$25,000 to $49,999"
Male,67.8,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$50,000 to $74,999"
Male,55.6,Quebec,"College, CEGEP or other non-university certificate or di...",By birth,"Less than $25,000"
Female,43.6,Quebec,"University certificate, diploma or degree above the bach...",By birth,"$50,000 to $74,999"
Female,32.7,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$75,000 to $99,999"
Female,22.9,Ontario,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Female,57.8,Ontario,"College, CEGEP or other non-university certificate or di...",By naturalization,"$50,000 to $74,999"
Male,44.2,Alberta,Trade certificate or diploma,By birth,"$50,000 to $74,999"
Female,69.6,Newfoundland and Labrador,Less than high school diploma or its equivalent,By birth,"$25,000 to $49,999"
Female,42.5,Ontario,"NA",Valid skip,"$25,000 to $49,999"
Female,62.1,Newfoundland and Labrador,Less than high school diploma or its equivalent,By birth,"$25,000 to $49,999"
Female,66.5,Alberta,Less than high school diploma or its equivalent,By naturalization,"$25,000 to $49,999"
Male,18.3,New Brunswick,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Male,49.2,Alberta,High school diploma or a high school equivalency certificate,By birth,"$50,000 to $74,999"
Female,58.4,Ontario,"College, CEGEP or other non-university certificate or di...",By birth,"Less than $25,000"
Female,57.3,British Columbia,"University certificate, diploma or degree above the bach...",By birth,"$50,000 to $74,999"
Female,65.8,Manitoba,"College, CEGEP or other non-university certificate or di...",By birth,"$25,000 to $49,999"
Male,67.8,New Brunswick,Less than high school diploma or its equivalent,By birth,"$25,000 to $49,999"
Male,15.9,New Brunswick,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Female,45.9,Ontario,"College, CEGEP or other non-university certificate or di...",By birth,"$50,000 to $74,999"
Male,55.9,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,By birth,"$75,000 to $99,999"
Female,44.8,Nova Scotia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$50,000 to $74,999"
Female,68.6,Ontario,"College, CEGEP or other non-university certificate or di...",By birth,"Less than $25,000"
Male,76.3,Quebec,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Male,31.8,Alberta,"University certificate, diploma or degree above the bach...",Valid skip,"Less than $25,000"
Female,19.3,Quebec,High school diploma or a high school equivalency certificate,By birth,"Less than $25,000"
Male,60.1,British Columbia,"University certificate, diploma or degree above the bach...",By birth,"$75,000 to $99,999"
Female,54.1,British Columbia,High school diploma or a high school equivalency certificate,By birth,"Less than $25,000"
Male,32.4,Newfoundland and Labrador,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$125,000 and more"
Male,56.8,Ontario,Trade certificate or diploma,By birth,"$125,000 and more"
Male,54.5,Alberta,"College, CEGEP or other non-university certificate or di...",By birth,"$75,000 to $99,999"
Female,59.1,New Brunswick,"University certificate, diploma or degree above the bach...",By birth,"$125,000 and more"
Male,26.3,British Columbia,Trade certificate or diploma,By birth,"Less than $25,000"
Male,80,Ontario,"College, CEGEP or other non-university certificate or di...",By birth,"$25,000 to $49,999"
Male,52.8,Ontario,"College, CEGEP or other non-university certificate or di...",By birth,"$75,000 to $99,999"
Male,70.8,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$50,000 to $74,999"
Female,56.9,Alberta,Trade certificate or diploma,By birth,"$50,000 to $74,999"
Female,57.3,Prince Edward Island,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Female,79.6,Ontario,Less than high school diploma or its equivalent,By birth,"$50,000 to $74,999"
Male,55.1,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By naturalization,"$100,000 to $ 124,999"
Male,77.8,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By naturalization,"Less than $25,000"
Male,63.3,Newfoundland and Labrador,Less than high school diploma or its equivalent,By birth,"$25,000 to $49,999"
Female,32.6,Alberta,"College, CEGEP or other non-university certificate or di...",By birth,"$50,000 to $74,999"
Female,72.1,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$25,000 to $49,999"
Male,33.8,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$100,000 to $ 124,999"
Male,24.9,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Valid skip,"$25,000 to $49,999"
Male,63.4,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$75,000 to $99,999"
Male,35.5,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$50,000 to $74,999"
Female,59.1,Manitoba,"University certificate, diploma or degree above the bach...",By naturalization,"$25,000 to $49,999"
Female,74.9,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By naturalization,"Less than $25,000"
Male,47.3,Manitoba,"University certificate, diploma or degree above the bach...",By birth,"$50,000 to $74,999"
Male,63.6,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$75,000 to $99,999"
Female,80,British Columbia,Less than high school diploma or its equivalent,By birth,"$50,000 to $74,999"
Female,79.7,British Columbia,High school diploma or a high school equivalency certificate,By birth,"Less than $25,000"
Male,77,Ontario,High school diploma or a high school equivalency certificate,By birth,"Less than $25,000"
Female,80,British Columbia,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Male,33.5,Ontario,"College, CEGEP or other non-university certificate or di...",By birth,"$50,000 to $74,999"
Female,46.1,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Valid skip,"Less than $25,000"
Male,35.1,British Columbia,Trade certificate or diploma,By birth,"$50,000 to $74,999"
Male,44.8,Prince Edward Island,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Male,33.3,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$25,000 to $49,999"
Female,63.1,Quebec,"College, CEGEP or other non-university certificate or di...",By birth,"$75,000 to $99,999"
Female,39.3,Saskatchewan,High school diploma or a high school equivalency certificate,Valid skip,"$25,000 to $49,999"
Female,24.5,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"Less than $25,000"
Female,46.2,Quebec,"College, CEGEP or other non-university certificate or di...",By birth,"$25,000 to $49,999"
Male,48.5,Alberta,High school diploma or a high school equivalency certificate,By birth,"$50,000 to $74,999"
Female,40.4,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$50,000 to $74,999"
Female,48.7,Manitoba,"University certificate, diploma or degree above the bach...",By birth,"$50,000 to $74,999"
Male,37.1,Ontario,Less than high school diploma or its equivalent,Valid skip,"Less than $25,000"
Female,67.1,Manitoba,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Male,48.3,Ontario,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Male,79.1,Saskatchewan,"College, CEGEP or other non-university certificate or di...",By naturalization,"$25,000 to $49,999"
Female,22.7,Saskatchewan,"College, CEGEP or other non-university certificate or di...",By birth,"$50,000 to $74,999"
Male,54,Manitoba,High school diploma or a high school equivalency certificate,By birth,"$75,000 to $99,999"
Male,55.5,Newfoundland and Labrador,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$75,000 to $99,999"
Female,80,Ontario,Less than high school diploma or its equivalent,By birth,"$50,000 to $74,999"
Female,44.8,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By naturalization,"$50,000 to $74,999"
Female,68.3,Quebec,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Female,26.1,Alberta,"College, CEGEP or other non-university certificate or di...",Valid skip,"Less than $25,000"
Female,45.3,Ontario,"College, CEGEP or other non-university certificate or di...",By naturalization,"$50,000 to $74,999"
Male,63.8,Quebec,High school diploma or a high school equivalency certificate,By birth,"Less than $25,000"
Female,27,Quebec,"College, CEGEP or other non-university certificate or di...",By birth,"Less than $25,000"
Male,54.5,Alberta,"College, CEGEP or other non-university certificate or di...",By birth,"$50,000 to $74,999"
Female,29.3,Quebec,High school diploma or a high school equivalency certificate,Valid skip,"Less than $25,000"
Female,52.9,Quebec,"College, CEGEP or other non-university certificate or di...",By birth,"$75,000 to $99,999"
Male,67.3,Ontario,"College, CEGEP or other non-university certificate or di...",By birth,"$100,000 to $ 124,999"
Female,51.9,Prince Edward Island,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Female,27.7,Quebec,"College, CEGEP or other non-university certificate or di...",By birth,"$25,000 to $49,999"
Male,80,British Columbia,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Female,60.7,Manitoba,"University certificate, diploma or degree above the bach...",By birth,"$75,000 to $99,999"
Female,70.7,Ontario,"University certificate, diploma or degree above the bach...",By naturalization,"$50,000 to $74,999"
Female,33.5,Ontario,Less than high school diploma or its equivalent,By birth,"$25,000 to $49,999"
Male,36.3,Nova Scotia,"College, CEGEP or other non-university certificate or di...",By birth,"$100,000 to $ 124,999"
Male,56.3,New Brunswick,"College, CEGEP or other non-university certificate or di...",By birth,"Less than $25,000"
Male,64,New Brunswick,"College, CEGEP or other non-university certificate or di...",By birth,"$100,000 to $ 124,999"
Male,50.3,Saskatchewan,High school diploma or a high school equivalency certificate,By birth,"$125,000 and more"
Female,16.3,Newfoundland and Labrador,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Male,75.8,Nova Scotia,Trade certificate or diploma,By birth,"Less than $25,000"
Male,49,Saskatchewan,"College, CEGEP or other non-university certificate or di...",Valid skip,"$50,000 to $74,999"
Female,29.9,Quebec,Trade certificate or diploma,By birth,"Less than $25,000"
Male,22.3,Ontario,High school diploma or a high school equivalency certificate,Valid skip,"Less than $25,000"
Male,80,New Brunswick,University certificate or diploma below the bachelor's level,By birth,"$25,000 to $49,999"
Male,47.5,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By naturalization,"$50,000 to $74,999"
Male,68.2,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"Less than $25,000"
Female,44.1,British Columbia,"College, CEGEP or other non-university certificate or di...",By naturalization,"$50,000 to $74,999"
Female,36.4,Alberta,"University certificate, diploma or degree above the bach...",Valid skip,"$25,000 to $49,999"
Male,59.4,Prince Edward Island,"College, CEGEP or other non-university certificate or di...",By birth,"Less than $25,000"
Female,47.3,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$50,000 to $74,999"
Female,33,British Columbia,High school diploma or a high school equivalency certificate,Valid skip,"Less than $25,000"
Female,20.1,Ontario,High school diploma or a high school equivalency certificate,Valid skip,"Less than $25,000"
Female,38.6,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$25,000 to $49,999"
Female,80,British Columbia,Less than high school diploma or its equivalent,By birth,"$25,000 to $49,999"
Female,35.5,Manitoba,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$50,000 to $74,999"
Female,80,Ontario,High school diploma or a high school equivalency certificate,By naturalization,"$25,000 to $49,999"
Male,24.3,New Brunswick,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Female,30.8,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$50,000 to $74,999"
Female,58.1,Quebec,University certificate or diploma below the bachelor's level,By birth,"$50,000 to $74,999"
Female,66,Quebec,"College, CEGEP or other non-university certificate or di...",By birth,"$25,000 to $49,999"
Male,20.8,Quebec,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Male,30.9,Quebec,University certificate or diploma below the bachelor's level,By birth,"$25,000 to $49,999"
Female,32,Quebec,High school diploma or a high school equivalency certificate,By birth,"$50,000 to $74,999"
Male,61.9,Ontario,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Female,28.3,Ontario,Less than high school diploma or its equivalent,By birth,"$25,000 to $49,999"
Female,48.4,Ontario,"College, CEGEP or other non-university certificate or di...",By naturalization,"$25,000 to $49,999"
Female,38.5,Ontario,"University certificate, diploma or degree above the bach...",By naturalization,"$75,000 to $99,999"
Female,75.8,Saskatchewan,High school diploma or a high school equivalency certificate,By naturalization,"Less than $25,000"
Male,74.2,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Male,60.2,Nova Scotia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"Less than $25,000"
Female,36.1,Ontario,High school diploma or a high school equivalency certificate,Valid skip,"$25,000 to $49,999"
Male,58.6,Saskatchewan,Less than high school diploma or its equivalent,By birth,"$75,000 to $99,999"
Female,38,Nova Scotia,"College, CEGEP or other non-university certificate or di...",By birth,"$50,000 to $74,999"
Female,42.3,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$125,000 and more"
Female,45.1,Prince Edward Island,"University certificate, diploma or degree above the bach...",By birth,"$100,000 to $ 124,999"
Female,80,Ontario,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Male,35.4,Manitoba,University certificate or diploma below the bachelor's level,Valid skip,"$25,000 to $49,999"
Male,52.5,Nova Scotia,Trade certificate or diploma,By birth,"$25,000 to $49,999"
Male,80,Manitoba,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$50,000 to $74,999"
Male,60.6,Quebec,Less than high school diploma or its equivalent,By birth,"$25,000 to $49,999"
Male,63.9,Newfoundland and Labrador,Less than high school diploma or its equivalent,By birth,"$125,000 and more"
Male,52.1,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By naturalization,"$25,000 to $49,999"
Male,21.3,Quebec,Less than high school diploma or its equivalent,By birth,"$25,000 to $49,999"
Female,38.2,Nova Scotia,High school diploma or a high school equivalency certificate,By naturalization,"$50,000 to $74,999"
Male,27.9,Newfoundland and Labrador,Trade certificate or diploma,By birth,"$75,000 to $99,999"
Female,22.3,Quebec,"College, CEGEP or other non-university certificate or di...",By birth,"Less than $25,000"
Male,61.1,New Brunswick,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Male,55.8,Ontario,High school diploma or a high school equivalency certificate,By birth,"$75,000 to $99,999"
Male,53.3,Ontario,High school diploma or a high school equivalency certificate,By birth,"$100,000 to $ 124,999"
Male,56.2,New Brunswick,High school diploma or a high school equivalency certificate,By birth,"$50,000 to $74,999"
Female,64.7,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Female,74.9,New Brunswick,Less than high school diploma or its equivalent,By naturalization,"$25,000 to $49,999"
Male,40.8,Quebec,Trade certificate or diploma,By birth,"$75,000 to $99,999"
Female,74.8,Saskatchewan,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$25,000 to $49,999"
Male,23,Manitoba,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Female,76.8,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$25,000 to $49,999"
Male,68.3,Quebec,"University certificate, diploma or degree above the bach...",By birth,"$25,000 to $49,999"
Female,64.8,Ontario,Less than high school diploma or its equivalent,By naturalization,"Less than $25,000"
Female,42,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$100,000 to $ 124,999"
Male,17.4,Saskatchewan,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Male,71,Ontario,"College, CEGEP or other non-university certificate or di...",By naturalization,"$50,000 to $74,999"
Female,64.8,Nova Scotia,"College, CEGEP or other non-university certificate or di...",By birth,"$25,000 to $49,999"
Female,46.3,Alberta,"College, CEGEP or other non-university certificate or di...",By birth,"$50,000 to $74,999"
Female,73.1,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"Less than $25,000"
Female,71.3,Newfoundland and Labrador,Less than high school diploma or its equivalent,By birth,"$25,000 to $49,999"
Male,65.6,Quebec,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Female,38.4,Alberta,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Male,31.1,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$50,000 to $74,999"
Female,24.2,Quebec,Trade certificate or diploma,By birth,"$25,000 to $49,999"
Male,60.1,Nova Scotia,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Male,69,Newfoundland and Labrador,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Male,70.5,Saskatchewan,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Male,20,Quebec,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Male,66.2,Ontario,"University certificate, diploma or degree above the bach...",By birth,"$125,000 and more"
Male,55.9,New Brunswick,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Female,36.7,British Columbia,Trade certificate or diploma,By birth,"$50,000 to $74,999"
Male,80,Quebec,High school diploma or a high school equivalency certificate,By birth,"$50,000 to $74,999"
Male,62.2,Prince Edward Island,Less than high school diploma or its equivalent,By birth,"$50,000 to $74,999"
Male,67.5,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$50,000 to $74,999"
Female,61,Quebec,"University certificate, diploma or degree above the bach...",By birth,"$25,000 to $49,999"
Female,74.3,Ontario,Less than high school diploma or its equivalent,By naturalization,"$25,000 to $49,999"
Male,30.5,Quebec,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Female,23.4,Prince Edward Island,"College, CEGEP or other non-university certificate or di...",By birth,"$25,000 to $49,999"
Male,40.6,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By naturalization,"Less than $25,000"
Female,60.9,British Columbia,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Female,57.2,Quebec,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Female,65.2,Ontario,High school diploma or a high school equivalency certificate,By birth,"Less than $25,000"
Male,48.7,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$75,000 to $99,999"
Female,29.8,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$25,000 to $49,999"
Female,28.7,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Valid skip,"Less than $25,000"
Female,76.8,British Columbia,High school diploma or a high school equivalency certificate,By birth,"$125,000 and more"
Female,56,British Columbia,High school diploma or a high school equivalency certificate,By naturalization,"Less than $25,000"
Female,68.8,Nova Scotia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$50,000 to $74,999"
Male,31.6,Manitoba,"University certificate, diploma or degree above the bach...",By birth,"$50,000 to $74,999"
Female,51.3,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or di...",By birth,"$25,000 to $49,999"
Female,75.8,Manitoba,"College, CEGEP or other non-university certificate or di...",By birth,"$25,000 to $49,999"
Female,30.6,Newfoundland and Labrador,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$25,000 to $49,999"
Female,27.8,Saskatchewan,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$25,000 to $49,999"
Male,68.3,Quebec,"University certificate, diploma or degree above the bach...",By birth,"$25,000 to $49,999"
Female,35.4,Quebec,"College, CEGEP or other non-university certificate or di...",Valid skip,"Less than $25,000"
Female,63.7,Nova Scotia,University certificate or diploma below the bachelor's level,By birth,"Less than $25,000"
Male,49.6,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By naturalization,"$125,000 and more"
Male,21.8,Manitoba,"College, CEGEP or other non-university certificate or di...",By birth,"Less than $25,000"
Male,65,Nova Scotia,Less than high school diploma or its equivalent,By birth,"$25,000 to $49,999"
Female,71.2,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$75,000 to $99,999"
Female,52.8,British Columbia,High school diploma or a high school equivalency certificate,By naturalization,"$25,000 to $49,999"
Female,68.4,Nova Scotia,High school diploma or a high school equivalency certificate,By birth,"$75,000 to $99,999"
Female,79.2,Ontario,"College, CEGEP or other non-university certificate or di...",By birth,"$25,000 to $49,999"
Female,67.5,Newfoundland and Labrador,University certificate or diploma below the bachelor's level,By birth,"Less than $25,000"
Female,68.3,Ontario,High school diploma or a high school equivalency certificate,By naturalization,"$50,000 to $74,999"
Male,50.8,Saskatchewan,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$75,000 to $99,999"
Male,41.8,Nova Scotia,"College, CEGEP or other non-university certificate or di...",By birth,"$50,000 to $74,999"
Female,33.5,British Columbia,University certificate or diploma below the bachelor's level,By birth,"$25,000 to $49,999"
Male,68.1,Quebec,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Female,59.7,New Brunswick,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Female,52.9,Ontario,"College, CEGEP or other non-university certificate or di...",By naturalization,"$50,000 to $74,999"
Male,61.2,Ontario,"College, CEGEP or other non-university certificate or di...",By naturalization,"Less than $25,000"
Male,49.4,Quebec,"College, CEGEP or other non-university certificate or di...",By birth,"$125,000 and more"
Female,27.6,Nova Scotia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"Less than $25,000"
Female,55,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"Less than $25,000"
Female,76.1,Quebec,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Male,65.2,Ontario,High school diploma or a high school equivalency certificate,By birth,"Less than $25,000"
Female,27.8,Ontario,"College, CEGEP or other non-university certificate or di...",By birth,"$25,000 to $49,999"
Female,62.3,Saskatchewan,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$50,000 to $74,999"
Female,53.1,Quebec,University certificate or diploma below the bachelor's level,By birth,"$75,000 to $99,999"
Female,31.5,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$75,000 to $99,999"
Female,34,Alberta,"University certificate, diploma or degree above the bach...",By naturalization,"Less than $25,000"
Female,52.2,Nova Scotia,High school diploma or a high school equivalency certificate,By birth,"$125,000 and more"
Male,41.8,Nova Scotia,"NA",By birth,"Less than $25,000"
Female,72.8,Nova Scotia,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Female,80,Saskatchewan,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Male,56.1,Alberta,"University certificate, diploma or degree above the bach...",By birth,"$125,000 and more"
Male,60.8,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By naturalization,"$25,000 to $49,999"
Female,33.3,Prince Edward Island,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",By birth,"$25,000 to $49,999"
Male,69.8,Ontario,Less than high school diploma or its equivalent,By birth,"$125,000 and more"
Female,70.4,Quebec,Less than high school diploma or its equivalent,By birth,"Less than $25,000"
Female,41.7,Prince Edward Island,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Male,73.6,Alberta,"University certificate, diploma or degree above the bach...",By naturalization,"$25,000 to $49,999"
Female,47.9,Quebec,High school diploma or a high school equivalency certificate,By birth,"$25,000 to $49,999"
Female,49.9,Ontario,"College, CEGEP or other non-university certificate or di...",By birth,"$25,000 to $49,999"
Female,64.8,Nova Scotia,High school diploma or a high school equivalency certificate,By birth,"Less than $25,000"
Male,80,British Columbia,Trade certificate or diploma,By naturalization,"Less than $25,000"
Female,64,Quebec,"University certificate, diploma or degree above the bach...",By birth,"$25,000 to $49,999"
Female,80,Prince Edward Island,"University certificate, diploma or degree above the bach...",By birth,"Less than $25,000"
Female,36,Quebec,"College, CEGEP or other non-university certificate or di...",By birth,"Less than $25,000"
